poly_id,mncplty,park_name,park_size_ha,total_observations,total_observers,family_count_observations,order_count_observations,species_count_observations,geometry
Deerfield Beach_Highlands Park,Deerfield Beach,Highlands Park,0.741778845,NA,NA,NA,NA,NA,"list(c(-80.1174269228797, -80.1174269228797, -80.1158054316622, -80.1174269228797, 26.2848813580343, 26.2857066759343, 26.2857024435501, 26.2848813580343))"
Deerfield Beach_Hillsboro Community Center,Deerfield Beach,Hillsboro Community Center,4.394324495,NA,NA,NA,NA,NA,"list(c(-80.1121710903888, -80.1108067120981, -80.1107684585008, -80.1101308985521, -80.1099715085646, -80.10990775257, -80.1104433029268, -80.110589941715, -80.1107684585008, -80.1110999896745, -80.111291257659, -80.1114825256441, -80.1118523104145, -80.1121519635905, -80.1121710903888, 26.3206203604027, 26.3206546481258, 26.3204717801502, 26.3204774947789, 26.3204946386629, 26.3186202256374, 26.3185859373121, 26.3188430995068, 26.3189573936325, 26.3189288201115, 26.3188716730489, 26.3188373847974, 
26.3187745229773, 26.3188088112474, 26.3206203604027))"
Deerfield Beach_Johnie McKeithen Park,Deerfield Beach,Johnie McKeithen Park,5.7746736673437695,NA,NA,NA,NA,NA,"list(c(-80.1029281356884, -80.1038400867537, -80.1038293579173, -80.1028744915083, -80.1028744915083, -80.1028852203441, -80.1024667957379, -80.1020483711315, -80.1018767097545, -80.101908896263, -80.1029281356884, 26.3241791463889, 26.3241887626368, 26.3260350675775, 26.3260446836723, 26.3276794081318, 26.3277755676749, 26.3276697921728, 26.3276313283297, 26.3276217123667, 26.3241887626368, 26.3241791463889))"
Deerfield Beach_Kirk Cottrell Pavilion,Deerfield Beach,Kirk Cottrell Pavilion,0.8410112221661857,NA,NA,NA,NA,NA,"list(c(-80.0758681608553, -80.0752073294191, -80.075376128753, -80.0760154113391, -80.0758681608553, 26.3185833471533, 26.3185672511895, 26.3174147743832, 26.3174018974822, 26.3185833471533))"
Deerfield Beach_Marty Popelsky Park,Deerfield Beach,Marty Popelsky Park,19.842100790136588,NA,NA,NA,NA,NA,"list(c(-80.1411332592774, -80.1365735039521, -80.1365627751157, -80.1365949616242, -80.1365735039521, -80.1364876732636, -80.1367988095092, -80.1386870846556, -80.1386978134919, -80.1391913399504, -80.1394595608523, -80.1397599682616, -80.1405109867856, -80.1409723267367, -80.1409508690646, -80.1411761746216, -80.1411332592774, 26.2898134554031, 26.2899192654649, 26.2898038363015, 26.2889284947416, 26.2880242888304, 26.2865910118272, 26.2857733626498, 26.2857252654606, 26.2855617348655, 26.2856867876943, 
26.2857252654606, 26.2858599375416, 26.2863505273731, 26.2868411151298, 26.2875721832315, 26.287677995338, 26.2898134554031))"
Deerfield Beach_Mayo Howard Park,Deerfield Beach,Mayo Howard Park,2.2106734901234573,NA,NA,NA,NA,NA,"list(c(-80.1171398435876, -80.1165087812668, -80.1159748054571, -80.1157239986369, -80.1156430932111, -80.1151981133699, -80.1152304755398, -80.1157482702649, -80.11576445135, -80.1164440569262, -80.1164764190965, -80.1171398435876, 26.3028101496681, 26.3030313620391, 26.3034266433102, 26.3037602738025, 26.3039633527628, 26.3039560999487, 26.3023677227772, 26.3023096994547, 26.3018527647755, 26.3018817765547, 26.3027883901565, 26.3028101496681))"
Deerfield Beach_Memorial Cemetery,Deerfield Beach,Memorial Cemetery,3.5273985424484837,NA,NA,NA,NA,NA,"list(c(-80.0956617439394, -80.0956832016115, -80.0952594125871, -80.0952325904968, -80.0947229707843, -80.0947229707843, -80.0938056553009, -80.0938217485554, -80.0956617439394, 26.3212392333745, 26.3223932068021, 26.3223980150003, 26.3228884502048, 26.3228788338479, 26.3232682956522, 26.3232538711634, 26.3212488498674, 26.3212392333745))"
Deerfield Beach_Middle School Athletic & Aquatic Complex,Deerfield Beach,Middle School Athletic & Aquatic Complex,6.192536089446871,2,2,2,2,2,"list(c(-80.0986617637101, -80.0956791472856, -80.0956791472856, -80.0966232848588, -80.0966018271867, -80.0969773364487, -80.0970524383014, -80.0972562861864, -80.0973772706287, -80.0975520138211, -80.0976787853864, -80.0976942540542, -80.0986510348744, -80.0986617637101, 26.3119680351649, 26.3119776524275, 26.309813748275, 26.3097848959469, 26.3102561497433, 26.3102369149324, 26.3101118885806, 26.3101311234132, 26.3100709105891, 26.3100726560747, 26.3101381053412, 26.3103378463068, 26.3102946193564, 
26.3119680351649))"
Deerfield Beach_North Crystal Heights,Deerfield Beach,North Crystal Heights,0.8520899147973041,NA,NA,NA,NA,NA,"list(c(-80.1396321590228, -80.1382601869172, -80.1382217267268, -80.1386690136884, -80.1387128066717, -80.1388379989721, -80.1389944646106, -80.1391849668561, -80.1391915686723, -80.1396336335507, -80.1396321590228, 26.3036867198256, 26.3037063987321, 26.3029470665873, 26.3029383203502, 26.3030793834286, 26.3032182101585, 26.3032423977834, 26.3032421754029, 26.3032905506501, 26.3032652511436, 26.3036867198256))"
Deerfield Beach_Oveta McKeithen Recreational Complex,Deerfield Beach,Oveta McKeithen Recreational Complex,8.730031178623738,NA,NA,NA,NA,NA,"list(c(-80.1104010837097, -80.1079667364947, -80.1079264993512, -80.1098880601231, -80.1098176451213, -80.1128153123521, -80.1128153123521, -80.1114170715966, -80.1114472494549, -80.1110046408702, -80.1107229808622, -80.1104413208538, -80.1104010837097, 26.3175547589084, 26.3175998421361, 26.3161481533706, 26.3160850360553, 26.3141103483887, 26.3140472299632, 26.3145702101668, 26.314624311433, 26.315967818093, 26.3162383209051, 26.3166440739388, 26.317139992384, 26.3175547589084))"
Deerfield Beach_Pastor Willie James Ford Sr. Linear Park,Deerfield Beach,Pastor Willie James Ford Sr. Linear Park,1.6607434201380706,NA,NA,NA,NA,NA,"list(c(-80.1114405710652, -80.1078067143671, -80.1077746273323, -80.1095955665607, -80.1097720452526, -80.1101811549471, -80.1103576336385, -80.110630373435, -80.1109512437838, -80.1112560706148, -80.1114405710652, 26.3045765432697, 26.304648454387, 26.304123502203, 26.3040875464915, 26.3041594579122, 26.304166649052, 26.304303280619, 26.3043392362672, 26.3043895741574, 26.3044111475318, 26.3045765432697))"
Deerfield Beach_Pioneer Park,Deerfield Beach,Pioneer Park,6.334558792268057,9,3,8,8,8,"list(c(-80.0996723178344, -80.0996331008709, -80.0994500883762, -80.0992409312394, -80.0991624973131, -80.0991821057945, -80.0991690334738, -80.0991428888317, -80.0991232803503, -80.0989206593742, -80.0985154174219, -80.0984239111742, -80.0982212901981, -80.0979467714564, -80.0976657165539, -80.0974108062936, -80.0970643897856, -80.0966460755127, -80.0966068585492, -80.0962539058812, -80.0961297188313, -80.0959728509788, -80.0958617362496, -80.0957506215212, -80.095789838484, -80.0957963746447, -80.095789838484, 
-80.0958029108054, -80.095789838484, -80.0996723178344, 26.3206657887466, 26.3208884128356, 26.3213219427285, 26.3216265843854, 26.3217906218687, 26.3218257727275, 26.321872640527, 26.3218843574593, 26.3219370837106, 26.3220483945874, 26.3223530343328, 26.3224350525894, 26.3223764681262, 26.3224057603615, 26.3223354589848, 26.3222651575654, 26.32223000684, 26.3221772807313, 26.3220425361227, 26.3221421299786, 26.322247582204, 26.3223588927818, 26.322563938303, 26.3224936370223, 26.3223530343328, 
26.3222065730169, 26.3219605175882, 26.3215562825357, 26.3206482131425, 26.3206657887466))"
Deerfield Beach_Riverglen Park,Deerfield Beach,Riverglen Park,0.3738099944051038,1,1,1,1,1,"list(c(-80.1657587787431, -80.1657449955282, -80.1656843493834, -80.1654693312333, -80.165367335444, -80.1653204725135, -80.1652680962975, -80.165133020793, -80.1650778879343, -80.1657587787431, 26.3213912376794, 26.3215938461225, 26.3216976210412, 26.3218878748168, 26.3219842369993, 26.322041065941, 26.3221201322488, 26.3220978948559, 26.3214011210265, 26.3213912376794))"
Deerfield Beach_Riverview Park,Deerfield Beach,Riverview Park,1.8085011460837344,NA,NA,NA,NA,NA,"list(c(-80.0998118566936, -80.0998356756315, -80.0998674342162, -80.0998594945699, -80.0998833135079, -80.0998833135083, -80.0997483395251, -80.0996768827108, -80.0992362323548, -80.09895437492, -80.0987479441225, -80.0985732719097, -80.0984541772187, -80.098644728724, -80.0987241251846, -80.0987797027068, -80.098811461291, -80.098811461291, -80.0998118566936, 26.3261505089333, 26.3267055695355, 26.3268905891443, 26.3270827245846, 26.3272535113698, 26.3273816012911, 26.3274598783971, 26.3275310393573, 
26.3274171816818, 26.3271894663517, 26.3267624986777, 26.3263924587542, 26.3258872100252, 26.3252680994219, 26.3253606104123, 26.3255100510859, 26.3257164212238, 26.3261006956723, 26.3261505089333))"
Deerfield Beach_SE 15th St Park,Deerfield Beach,SE 15th St Park,0.2350330271092302,NA,NA,NA,NA,NA,"list(c(-80.0871672413576, -80.0873699955819, -80.087838082553, -80.088281137256, -80.0887517273663, -80.0891647452826, -80.0891597390047, -80.0891246950605, -80.0890320789216, -80.0887692493387, -80.0885990368002, -80.0878480951346, -80.0873674924685, -80.0872598574964, -80.0872298198301, -80.0871772539134, -80.0871672413576, 26.2977963193353, 26.2977963187819, 26.2977873424905, 26.2977850984465, 26.2977806103, 26.2977671458613, 26.2978142713904, 26.2978726172569, 26.2978793494708, 26.2978815935417, 
26.2978838381395, 26.2978995466361, 26.2979085229179, 26.2979152551296, 26.297904034777, 26.2978591533558, 26.2977963193353))"
Deerfield Beach_SE 19th Ave. Park,Deerfield Beach,SE 19th Ave. Park,0.41918805384218266,2,2,2,2,2,"list(c(-80.0791501331136, -80.0791559918312, -80.0786462834142, -80.0785701200879, -80.0785232503484, -80.0784793099674, -80.0784763806089, -80.0784558750976, -80.0785701200879, -80.0785935549576, -80.0786052723923, -80.078628707262, -80.0786550714902, -80.0786902237952, -80.0787253760995, -80.0787781045566, -80.0788279036546, -80.0788777027532, -80.078950936721, -80.0791501331136, 26.3107072674181, 26.3108228064211, 26.3108201805362, 26.3107151450805, 26.3106179871997, 26.3104761890656, 26.3102739951301, 
26.3095229859938, 26.3095229859938, 26.3096752889396, 26.3097724476108, 26.3098407212219, 26.3099221243224, 26.3100875562534, 26.3102057217732, 26.3103055058963, 26.3104105417232, 26.3104814408521, 26.3105628435025, 26.3107072674181))"
Deerfield Beach_South Crystal Heights,Deerfield Beach,South Crystal Heights,0.8960479594476454,NA,NA,NA,NA,NA,"list(c(-80.1432018005176, -80.1432018005176, -80.1421188945734, -80.1420696715757, -80.1421287391726, -80.1422074959686, -80.1422764081654, -80.1432018005176, 26.2971533457892, 26.2979432492057, 26.2979564877645, 26.2979344234988, 26.2977667349427, 26.2974710729501, 26.2971621715557, 26.2971533457892))"
Deerfield Beach_Sullivan Park,Deerfield Beach,Sullivan Park,1.3390740146314308,6,5,5,2,5,"list(c(-80.083503210261, -80.0823217844328, -80.0822971713946, -80.0822085644577, -80.0820658088366, -80.0818098332404, -80.0815735480752, -80.0814455602768, -80.0813372629095, -80.0813126498712, -80.0813028046563, -80.0813224950867, -80.0814947863533, -80.0814947863533, -80.0817310715185, -80.0817163036958, -80.0819575114693, -80.0821494931663, -80.0823808557243, -80.0826762121809, -80.0829124973467, -80.0831241694742, -80.0832964607407, -80.0835475137292, -80.083503210261, 26.3148831702916, 26.3148743453225, 
26.3149714199421, 26.3151567439906, 26.3154567918207, 26.3153906048657, 26.3152494059037, 26.3151346816193, 26.3150067197837, 26.31491847016, 26.3147949205729, 26.3147375582199, 26.3146493083913, 26.3145787084795, 26.3145654709915, 26.3144683960317, 26.3144595710311, 26.3144507460298, 26.3144507460298, 26.3144639835311, 26.3144816335309, 26.3144948710286, 26.3145301710154, 26.314574295984, 26.3148831702916))"
Deerfield Beach_Teen Center,Deerfield Beach,Teen Center,1.4437420819295246,NA,NA,NA,NA,NA,"list(c(-80.1207463676901, -80.1205366692078, -80.1201744624385, -80.1197645968841, -80.1197645967105, -80.1197360014395, -80.1207463676901, 26.2997443928379, 26.3004835414657, 26.3015815758639, 26.3015602134261, 26.3011628723738, 26.2997657556103, 26.2997443928379))"
Deerfield Beach_Tivoli Sand Pines Preserve,Deerfield Beach,Tivoli Sand Pines Preserve,9.578105290074669,2,2,2,2,2,"list(c(-80.1156161402575, -80.1156161402575, -80.1100759316149, -80.1083688645258, -80.1083533457337, -80.1078101880237, -80.1077946692324, -80.1078877819827, -80.1078412256071, -80.1156161402575, 26.3047827153011, 26.3053113629586, 26.3055756858828, 26.3074537524611, 26.3098047706881, 26.3098325931035, 26.308413641404, 26.3081354135431, 26.3049357451345, 26.3047827153011))"
Deerfield Beach_Trailhead Linear Park,Deerfield Beach,Trailhead Linear Park,4.334929308216581,6,2,4,4,5,"list(c(-80.1530813667869, -80.1526070886474, -80.1526782303683, -80.15305765288, -80.1530813667869, 26.3012019117413, 26.3012444296844, 26.29206019192, 26.29206019192, 26.3012019117413))"
Deerfield Beach_Trailhead Park,Deerfield Beach,Trailhead Park,0.25596464584983675,2,2,2,2,2,"list(c(-80.1543746524609, -80.1543849703, -80.1543849703, -80.1539928924077, -80.153979135289, -80.1541923706337, -80.1543746524609, 26.3013575431387, 26.3015302039755, 26.3018631920063, 26.3018909409654, 26.3012835455591, 26.3012712126242, 26.3013575431387))"
Deerfield Beach_Villages of Hillsboro Park,Deerfield Beach,Villages of Hillsboro Park,4.414743695198353,14,8,12,11,10,"list(c(-80.1617692120331, -80.1618257892634, -80.1619106551089, -80.1619177272629, -80.159923379896, -80.15993045205, -80.1599445963572, -80.159923379896, -80.1598809469729, -80.1596829266676, -80.1599021634349, -80.1599870292803, -80.1601143280481, -80.160291131893, -80.1604467192759, -80.1606164509668, -80.1617692120331, 26.3253230688237, 26.3254561815394, 26.3257224065111, 26.3276873814201, 26.3276747042691, 26.3274021451954, 26.3270408449695, 26.3267175753905, 26.3263943049089, 26.3258808734653, 
26.3257984706764, 26.3258745347917, 26.325931582845, 26.3259632761961, 26.3259759535344, 26.3259125668303, 26.3253230688237))"
Deerfield Beach_Wedding Deck,Deerfield Beach,Wedding Deck,2.9970290548751533,44,20,30,25,31,"list(c(-80.0762650095703, -80.0754730371906, -80.0755621340836, -80.0756809299401, -80.0757997257972, -80.0758789230352, -80.0760274178568, -80.0760967154398, -80.0762947085349, -80.0767005943795, -80.0762650095703, 26.3093389352791, 26.3092856901208, 26.3087354887144, 26.3078036900507, 26.3071913611361, 26.3066500241839, 26.3062506756305, 26.305762581086, 26.3053543549796, 26.3053987274524, 26.3093389352791))"
Fort Lauderdale_4201 N. Ocean Blvd,Fort Lauderdale,4201 N. Ocean Blvd,0.1350944577342072,NA,NA,NA,NA,NA,"list(c(-80.0979462058256, -80.0980314227282, -80.0980505965314, -80.0984596376633, -80.0983669642815, -80.0979462058256, 26.1809722341959, 26.1806883238673, 26.1806921475802, 26.1807017068616, 26.1809884849348, 26.1809722341959))"
Fort Lauderdale_520 SW 31st Ave,Fort Lauderdale,520 SW 31st Ave,0.4382933273512964,NA,NA,NA,NA,NA,"list(c(-80.1856567404165, -80.1847202885725, -80.1846839215108, -80.1846808909221, -80.1846824062168, -80.1856552251225, -80.1856567404165, 26.0965109424328, 26.0965313546798, 26.0965259114139, 26.0964959734487, 26.096120387413, 26.0961122224859, 26.0965109424328))"
Fort Lauderdale_Ann Herman Park,Fort Lauderdale,Ann Herman Park,0.40458219940896406,2,2,2,2,2,"list(c(-80.1826115529628, -80.181620928257, -80.1816144252503, -80.1826093852937, -80.1826115529628, 26.0991126814907, 26.0991340945424, 26.0987622855404, 26.0987506056576, 26.0991126814907))"
Fort Lauderdale_Annie Beck Park,Fort Lauderdale,Annie Beck Park,0.8994580358308358,11,8,9,9,8,"list(c(-80.1243384926929, -80.1241426000595, -80.1241933870388, -80.1243312374106, -80.1243401854712, -80.1243810931798, -80.1244517676386, -80.1245209324425, -80.1243602585414, -80.1248318519184, -80.124817341353, -80.1246722356989, -80.1245416406094, -80.1243384926929, 26.1266662754458, 26.1265490241479, 26.1263796609546, 26.1255654114061, 26.1250729776536, 26.1248549631309, 26.1244233812957, 26.1240609263707, 26.1235851328184, 26.1235851328184, 26.1240867197139, 26.1247250999208, 26.125604495514, 
26.1266662754458))"
Fort Lauderdale_Bass Park,Fort Lauderdale,Bass Park,1.591401572397226,NA,NA,NA,NA,NA,"list(c(-80.178133251608, -80.1781378333337, -80.1802912444934, -80.1803095713968, -80.178133251608, 26.1510092011594, 26.1503758405559, 26.1502894729347, 26.1509804121159, 26.1510092011594))"
Fort Lauderdale_Bayview Park,Fort Lauderdale,Bayview Park,2.953288659761447,8,5,5,4,5,"list(c(-80.1091423195544, -80.1090520710297, -80.1071518382131, -80.1071769072478, -80.1072270453164, -80.1073824733304, -80.108450414201, -80.1091724023957, -80.1091423195544, 26.1838415906726, 26.1840035655153, 26.1840395598943, 26.1827437552492, 26.1827032611214, 26.182694262425, 26.1826717656796, 26.1826627669801, 26.1838415906726))"
Fort Lauderdale_Beach Community Center,Fort Lauderdale,Beach Community Center,0.5938282140661969,1,1,1,1,1,"list(c(-80.1028523416438, -80.1020101752312, -80.1020414216881, -80.1029029311456, -80.1028523416438, 26.1698607014746, 26.1698807324714, 26.1692477513061, 26.1692357326432, 26.1698607014746))"
Fort Lauderdale_Benenson Park,Fort Lauderdale,Benenson Park,0.46748048857257735,NA,NA,NA,NA,NA,"list(c(-80.1904083082968, -80.1900021717419, -80.1899826771873, -80.1903855646494, -80.1904083082968, 26.10405125388, 26.1040687599198, 26.1030242282878, 26.10301547519, 26.10405125388))"
Fort Lauderdale_Bill Keith Preserve,Fort Lauderdale,Bill Keith Preserve,1.5818870743188824,18,5,16,14,15,"list(c(-80.1661603700484, -80.164811017882, -80.1643419428626, -80.1641683241868, -80.1643998157547, -80.1645978019641, -80.1648018800569, -80.1652283118927, -80.1653745170935, -80.1655907789533, -80.1660354864392, -80.1662913455406, -80.1661603700484, 26.0998247626866, 26.0998192919993, 26.0997892032135, 26.0991436601159, 26.0990862175492, 26.099023304229, 26.0989959506018, 26.0989439786911, 26.0989986859643, 26.0990807468274, 26.0993023108687, 26.0996715833377, 26.0998247626866))"
Fort Lauderdale_Bryant Peney Park,Fort Lauderdale,Bryant Peney Park,0.30540943162997003,NA,NA,NA,NA,NA,"list(c(-80.1467103983291, -80.1466048504613, -80.1465563554951, -80.1464294127894, -80.1464008863384, -80.1463880494356, -80.1463709335652, -80.1463851967907, -80.1464151495639, -80.1466019978164, -80.1467032667166, -80.1467103983291, 26.0953984173674, 26.0954137884947, 26.0954265977665, 26.0954265977665, 26.0954073838591, 26.0953779225281, 26.0946106443864, 26.0945837447277, 26.0945632497457, 26.0945632497457, 26.0946311393609, 26.0953984173674))"
Fort Lauderdale_Bubier Park,Fort Lauderdale,Bubier Park,1.1751923186394801,18,6,7,5,10,"list(c(-80.1432661756302, -80.1432826590131, -80.143200242099, -80.1430683750366, -80.1430024415053, -80.1428606844128, -80.1426727738488, -80.1424914566376, -80.1424024463702, -80.1424024463702, -80.1423332161626, -80.1422573926017, -80.1422409092188, -80.1422211291595, -80.1421848657172, -80.1422376125424, -80.142277172661, -80.1423200294565, -80.142336512839, -80.1423167327797, -80.1423134361033, -80.1425211267266, -80.1427518940861, -80.1430881550959, -80.1432859556895, -80.1432661756302, 26.1186026364036, 
26.1192952826383, 26.1193574429968, 26.1193308028472, 26.1192745625111, 26.1191354415636, 26.1190673610393, 26.1190229606764, 26.1189785602965, 26.118570076009, 26.1185079152317, 26.1184161540234, 26.1183214327003, 26.1182681519227, 26.1182089510304, 26.1181467900601, 26.1181201496345, 26.1180875891064, 26.1180195079716, 26.1179573469014, 26.117847824935, 26.1178981458508, 26.1180254280715, 26.1181704704339, 26.1182059909847, 26.1186026364036))"
Fort Lauderdale_Carter Park-Sunland Park,Fort Lauderdale,Carter Park-Sunland Park,8.909856361925867,2,2,2,2,2,"list(c(-80.1639140481096, -80.160330065382, -80.1602943683432, -80.1622077296399, -80.1622005902319, -80.1638569328469, -80.1639140481096, 26.1364638419076, 26.1364317949786, 26.1346499718974, 26.1346243339562, 26.1337141834191, 26.1337077738825, 26.1364638419076))"
Fort Lauderdale_Cliff Lake Park,Fort Lauderdale,Cliff Lake Park,0.5051691173688428,4,4,4,4,4,"list(c(-80.1316117975696, -80.1317320319229, -80.1317434828139, -80.1316346993513, -80.1314228578718, -80.1308846660042, -80.130564041062, -80.130415179482, -80.1303178469103, -80.130489610272, -80.1308732151136, -80.1313770543085, -80.1316117975696, 26.1044460597333, 26.1044357769079, 26.1045488879355, 26.1048522306054, 26.1052224104248, 26.1065385958465, 26.1072686610592, 26.1073920519119, 26.107335497787, 26.1071144223094, 26.1062146922145, 26.1049807653977, 26.1044460597333))"
Fort Lauderdale_Colee Hammock Park,Fort Lauderdale,Colee Hammock Park,0.5202467039074483,3,2,3,3,3,"list(c(-80.1292305356433, -80.1289229439753, -80.1288870582812, -80.1287101930722, -80.1284000381409, -80.1283128871677, -80.1283359565435, -80.1285205115433, -80.1286050992524, -80.1286409849465, -80.1287204461272, -80.1288024705721, -80.1292305356433, 26.1174334674186, 26.1175991780685, 26.1176083842091, 26.1176383041596, 26.1177050486384, 26.1176981440389, 26.116998475845, 26.1170376021371, 26.1170353005914, 26.1170283959516, 26.1169938727505, 26.1169317309627, 26.1174334674186))"
Fort Lauderdale_Coontie Hatchee Park,Fort Lauderdale,Coontie Hatchee Park,1.0869005631901516,1,1,1,1,1,"list(c(-80.1614517124166, -80.1598063135158, -80.1597973711305, -80.1597854479498, -80.1597496784086, -80.1597079472771, -80.1596125618333, -80.1599821804273, -80.160542569908, -80.1614397892363, -80.1614517124166, 26.1083332031815, 26.1083840594341, 26.108293053493, 26.1082047241298, 26.1081030114464, 26.1079611488721, 26.1078085794961, 26.1078005495235, 26.107789842893, 26.1077630763109, 26.1083332031815))"
Fort Lauderdale_Coral Ridge Park,Fort Lauderdale,Coral Ridge Park,0.1729754091737486,NA,NA,NA,NA,NA,"list(c(-80.1104118751605, -80.1100519219852, -80.1100269134685, -80.1099442091433, -80.1100403733269, -80.1101901329789, -80.1103918683472, -80.1104118751605, 26.1556177773711, 26.1556528419168, 26.1553446153292, 26.1552800462543, 26.1551522524015, 26.1552197050842, 26.1553079994305, 26.1556177773711))"
Fort Lauderdale_Croissant Park,Fort Lauderdale,Croissant Park,3.5526042727832086,NA,NA,NA,NA,NA,"list(c(-80.1457765044115, -80.1461325348156, -80.1461419040363, -80.1457671351908, -80.1457624505798, -80.1439869831726, -80.1439073447929, -80.1437433834225, -80.1437105911481, -80.1436450066001, -80.1435606836101, -80.1434576221773, -80.1435325759467, -80.1436028451051, -80.1436777988745, -80.1437621218645, -80.144169682985, -80.1442586905854, -80.1439869831726, -80.144188421427, -80.1443570674078, -80.1445866133256, -80.1452284049742, -80.1453876817343, -80.1457765044115, 26.0994415713251, 26.0994331574661, 
26.0997150214275, 26.099727642186, 26.099942194872, 26.1000221261644, 26.0998917119226, 26.0996561245365, 26.0995172960331, 26.0992564662783, 26.098924117844, 26.0984108690408, 26.0983940411727, 26.0983225227078, 26.0982594181438, 26.0981878995965, 26.0980658972675, 26.0982720390593, 26.0983393505862, 26.0987474258872, 26.0986085963058, 26.0987053563347, 26.0983351436165, 26.0983730063351, 26.0994415713251))"
Fort Lauderdale_Cypress Creek Sand Pine Preserve,Fort Lauderdale,Cypress Creek Sand Pine Preserve,4.990544566915038,197,3,50,38,90,"list(c(-80.1714091820988, -80.1714998260879, -80.1715360836834, -80.1715481695489, -80.1711976794577, -80.1708592752321, -80.1700616081288, -80.1700495222634, -80.1687200770912, -80.1686656906975, -80.1696688175095, -80.1696204740486, -80.1714091820988, 26.2029237485824, 26.2029833898599, 26.203704504706, 26.2046099583744, 26.2046208020885, 26.2047346610233, 26.2048268324599, 26.2052876885485, 26.2053093758486, 26.2043497089394, 26.2043171777192, 26.2029725459934, 26.2029237485824))"
Fort Lauderdale_D.C. Alexander Park,Fort Lauderdale,D.C. Alexander Park,0.3877306571027454,5,3,5,5,5,"list(c(-80.1052421163181, -80.1052421163181, -80.1048087712901, -80.1048359615665, -80.105527614219, -80.1055836941641, -80.1052421163181, 26.1162460427534, 26.1165435907437, 26.1165512201688, 26.1159423904348, 26.1159408645412, 26.1162429909758, 26.1162460427534))"
Fort Lauderdale_Dottie Mancini Park,Fort Lauderdale,Dottie Mancini Park,0.5067836044386759,1,1,1,1,1,"list(c(-80.1121077758324, -80.1120168363475, -80.1115125355667, -80.1115803268193, -80.1115869405997, -80.1115935543805, -80.1116398508457, -80.1120416380252, -80.1120895879357, -80.1121077758324, 26.2087257193113, 26.2087494546108, 26.2087524215222, 26.2086441291847, 26.2083059004107, 26.2079068485327, 26.2078638279882, 26.2078534437168, 26.2079023981323, 26.2087257193113))"
Fort Lauderdale_Dr. Elizabeth Hays Civic Park,Fort Lauderdale,Dr. Elizabeth Hays Civic Park,1.075966348436741,7,1,5,4,5,"list(c(-80.1994820204515, -80.1992187471597, -80.1988767856189, -80.1987567991135, -80.1984598325125, -80.1984331638324, -80.1985992965982, -80.1987537589978, -80.1989541202803, -80.1992699888019, -80.1993965502935, -80.1994820204515, 26.0930595918335, 26.0931773133027, 26.0931072709223, 26.093080331534, 26.0930480042601, 26.0917821768313, 26.0917862359491, 26.0918390086609, 26.0919626726139, 26.0925803280983, 26.0928615689405, 26.0930595918335))"
Fort Lauderdale_Earl Lifshey Park,Fort Lauderdale,Earl Lifshey Park,0.2705673535269186,NA,NA,NA,NA,NA,"list(c(-80.0992798239936, -80.0986233596424, -80.0986208824182, -80.0986555635541, -80.0987249258252, -80.0987558911244, -80.0987620841845, -80.0986852902416, -80.0993368001444, -80.0993380387569, -80.0993355615326, -80.0992798239936, 26.1676455720551, 26.167665581998, 26.1674799340614, 26.1674777107309, 26.1674577007557, 26.1673843308174, 26.1673387524989, 26.1672764991571, 26.1672798341584, 26.1674832690569, 26.1675444106239, 26.1676455720551))"
Fort Lauderdale_Esplanade Park,Fort Lauderdale,Esplanade Park,1.1087988546026002,4,4,3,3,3,"list(c(-80.1484543044408, -80.1484094984083, -80.1482698090113, -80.1481169413689, -80.1477374079136, -80.1476003541651, -80.1475318272916, -80.1475107420992, -80.1475133777485, -80.1475634550795, -80.1475291916424, -80.1474975638545, -80.1475397342386, -80.1476082611121, -80.1477215940197, -80.147763764403, -80.1479008181515, -80.1480009728136, -80.148077406634, -80.1481485691575, -80.1482302742764, -80.1483014367992, -80.1483831419181, -80.1484411261961, -80.1486546137651, -80.1488312022476, -80.1489102717181, 
-80.1489208143135, -80.148876008281, -80.1487863962151, -80.1487178693408, -80.1487073267446, -80.1485939938378, -80.1484543044408, 26.1201311542487, 26.1202589439873, 26.1202944411119, 26.1202991740608, 26.1203110064333, 26.1203299382258, 26.1202849752128, 26.11986610842, 26.1197927474147, 26.119705187445, 26.1196531247291, 26.1196318263388, 26.1195608316755, 26.1195868630573, 26.1196247268745, 26.1196199938976, 26.1196270933621, 26.1196128944325, 26.1195963290129, 26.1195679311437, 26.1195300673088, 
26.1194756380235, 26.1194093762509, 26.1193289154767, 26.1190331033301, 26.1191111978092, 26.1192153237007, 26.1192697531072, 26.1193454809349, 26.1196199938976, 26.1198306111653, 26.119875574353, 26.1200388615733, 26.1201311542487))"
Fort Lauderdale_Esterre Davis Wright Park,Fort Lauderdale,Esterre Davis Wright Park,0.4425053665777682,6,1,4,4,4,"list(c(-80.1629748098504, -80.1630333900927, -80.1625365428504, -80.1625278642957, -80.1629748098504, 26.092595522642, 26.093431434153, 26.093437279667, 26.0925838315296, 26.092595522642))"
Fort Lauderdale_Evergreen Cemetery,Fort Lauderdale,Evergreen Cemetery,5.908998990398625,174,52,42,23,80,"list(c(-80.1328613224062, -80.1306483385961, -80.1306340612809, -80.1322973684676, -80.1327827971746, -80.1328613224062, 26.1077421335417, 26.1077677746858, 26.1074087981517, 26.1040433395447, 26.1040369290542, 26.1077421335417))"
