poly_id,mncplty,park_name,park_size_ha,total_observations,total_observers,family_count_observations,order_count_observations,species_count_observations,geometry
Broward_Everglades Holiday Park,Broward,Everglades Holiday Park,10.452164231890295,339,71,95,55,137,"list(c(-80.4465799545192, -80.4464576610126, -80.446498425515, -80.4463924378092, -80.4463027559047, -80.4456749825724, -80.4452428788499, -80.4453488665551, -80.4448841512312, -80.4445580352145, -80.444313448202, -80.4440199437868, -80.4438813444795, -80.4437427451722, -80.4436367574664, -80.4435796871639, -80.4434981581597, -80.4434900052588, -80.4434900052588, -80.4440525553882, -80.4441503901931, -80.4444031301065, -80.4452510317503, -80.4458298876804, -80.4463842849088, -80.4467185538265, -80.4465065784154, 
-80.446310908805, -80.4465799545192, 26.0593645873442, 26.0599431875549, 26.0601922044872, 26.0601995285065, 26.0602581206455, 26.0604998129088, 26.0606462928254, 26.0608440404227, 26.0610564356181, 26.0612029148388, 26.0612834783327, 26.0613200980838, 26.0610344637194, 26.0608586883794, 26.0607854485767, 26.0603753048354, 26.0600310759444, 26.0589544386289, 26.0583831576683, 26.0581927300631, 26.0580242746151, 26.0578777914203, 26.0574676375006, 26.0572186147773, 26.0572039663654, 26.0573943955782, 
26.0580975161438, 26.059005707297, 26.0593645873442))"
Broward_Fern Forest Nature Center,Broward,Fern Forest Nature Center,99.73085748392415,2635,235,238,91,445,"list(c(-80.1943181654025, -80.1943689739272, -80.1896183768712, -80.1872303762121, -80.1841564604699, -80.18382620506, -80.1837245880105, -80.1839786306336, -80.1845629286672, -80.1856807162097, -80.1863920355553, -80.1871541634252, -80.1876114401473, -80.1880941211314, -80.1883481637545, -80.1883481637545, -80.1922350158912, -80.1921588031044, -80.1923366329407, -80.1943181654025, 26.2258769997235, 26.2302296400081, 26.2302524282719, 26.2302752165319, 26.2304119459944, 26.2295232016123, 26.228611661858, 
26.2277229037172, 26.2267429830235, 26.2250337992627, 26.2232790111386, 26.2218204657987, 26.2212051364993, 26.2204530629338, 26.2198149360964, 26.2189716916927, 26.2146870040862, 26.2183107661311, 26.2258542106024, 26.2258769997235))"
Broward_Franklin Park,Broward,Franklin Park,0.8324590010564258,NA,NA,NA,NA,NA,"list(c(-80.1766461318806, -80.1762498073973, -80.1760230217207, -80.1755562395515, -80.1751775294896, -80.1755760557755, -80.1766461318806, 26.135025230759, 26.1353691737924, 26.1351813889289, 26.1347840746949, 26.1344717570847, 26.1340922307633, 26.135025230759))"
Broward_Helene Klein Pineland Preserve,Broward,Helene Klein Pineland Preserve,5.187624799864173,463,34,85,52,123,"list(c(-80.1896314104954, -80.1896363581776, -80.1867023826472, -80.1867122780114, -80.1868409177477, -80.1894433985728, -80.1894829800299, -80.1896314104954, 26.3183402707504, 26.3193425375408, 26.3193558419088, 26.3178435689501, 26.3177238280186, 26.3176972189062, 26.3183136617789, 26.3183402707504))"
Broward_Herman and Dorothy Shooster Nature Preserve,Broward,Herman and Dorothy Shooster Nature Preserve,13.813088219958594,53,9,29,24,32,"list(c(-80.2125092895663, -80.2125266219355, -80.2101780858831, -80.2077082232453, -80.2076908908761, -80.204579730571, -80.2045363996472, -80.2125092895663, 26.2200768144811, 26.2219426712517, 26.2219426712517, 26.2219193482269, 26.2212041065252, 26.2212118809151, 26.220092363411, 26.2200768144811))"
Broward_Highlands Scrub Natural Area,Broward,Highlands Scrub Natural Area,14.48490823663317,222,23,73,43,95,"list(c(-80.1117330875424, -80.1104241695431, -80.1097160663633, -80.1097482528712, -80.109362014773, -80.1095444049862, -80.1089006748226, -80.1088684883143, -80.1090294208555, -80.1090294208555, -80.1089006748226, -80.108589538577, -80.1072484340693, -80.1072162475614, -80.1095014896419, -80.1095551338221, -80.1098018970515, -80.1113039341, -80.1117330875424, 26.2809633031691, 26.2854172011989, 26.2854364401282, 26.2852344312102, 26.2851574753392, 26.2845899242151, 26.2845995437487, 26.2827525786494, 
26.2826660014389, 26.2818194653094, 26.2817713664807, 26.2817425071732, 26.2817713664807, 26.2799243563575, 26.2799147364363, 26.2808093857104, 26.2808671047811, 26.2808286254038, 26.2809633031691))"
Broward_Hollywood North Beach Park,Broward,Hollywood North Beach Park,23.65046890049309,220,53,90,58,113,"list(c(-80.1154956710668, -80.1153467520523, -80.1151854231196, -80.1150737338585, -80.1149496346796, -80.1124056015106, -80.112442831264, -80.1126413899506, -80.1125172907717, -80.1126289800328, -80.1128771783906, -80.1127903089651, -80.1131501965844, -80.1155204909029, -80.1154956710668, 26.0394979491312, 26.0419509691017, 26.0438464493864, 26.045641552462, 26.047994099349, 26.0481501908368, 26.0468791541029, 26.0465781170683, 26.0460763869596, 26.0452290156784, 26.0433893069457, 26.0425419162426, 
26.0394756487145, 26.0392972452263, 26.0394979491312))"
Broward_Kristin Jacobs Natural Area at Hillsboro Pineland,Broward,Kristin Jacobs Natural Area at Hillsboro Pineland,17.477304268512558,487,42,102,49,178,"list(c(-80.2025816204077, -80.2026138069156, -80.1975605251316, -80.1975605251316, -80.1969811679843, -80.1969704391483, -80.1967344047549, -80.196712947083, -80.198858714295, -80.1988479854586, -80.2025923492437, -80.2025816204077, 26.3232192326589, 26.3249886236281, 26.3249982398094, 26.3262194883574, 26.3262194883574, 26.3249982398094, 26.3250078559899, 26.3212959509434, 26.3212671014747, 26.3231038366569, 26.3230653712968, 26.3232192326589))"
Broward_Lafayette Hart Park,Broward,Lafayette Hart Park,0.9090669416145163,NA,NA,NA,NA,NA,"list(c(-80.1825793171807, -80.1825820990193, -80.1824263160586, -80.1822649694203, -80.1820618952041, -80.1819228032748, -80.1817419837666, -80.1816418375776, -80.1813914721049, -80.1810075783806, -80.1807850312936, -80.1812189981129, -80.1814165086524, -80.181591764483, -80.1817336382509, -80.1818838575345, -80.1820952772668, -80.1822788786135, -80.1825793171807, 26.1331211782739, 26.1334458476056, 26.1334508425113, 26.1335382533274, 26.1335807099864, 26.1335632278341, 26.133470822132, 26.1334133807133, 
26.1332185791682, 26.1329088939912, 26.1326766295702, 26.1324218874155, 26.1326466599333, 26.1328489548304, 26.1329588432691, 26.1330187823743, 26.1330712290654, 26.1331286706532, 26.1331211782739))"
Broward_Lewis-Chisom Park,Broward,Lewis-Chisom Park,0.5317933858083786,NA,NA,NA,NA,NA,"list(c(-80.1782389371302, -80.1782665419099, -80.1782389371302, -80.1777991009696, -80.1774917677527, -80.1772580472828, -80.1775101709398, -80.1782389371302, 26.1327108312944, 26.133388229038, 26.1334030987009, 26.1330115302897, 26.1327537883408, 26.1325720468815, 26.1323192605621, 26.1327108312944))"
Broward_Long Key Natural Area and Nature Center,Broward,Long Key Natural Area and Nature Center,69.66488517,1871,120,250,98,440,"list(c(-80.3302147616954, -80.3301978998897, -80.3284611338877, -80.3277866616539, -80.3271459130321, -80.3268255387212, -80.3259318630114, -80.324920154661, -80.3238409990871, -80.3223402983675, -80.322407745591, -80.3221379566972, -80.3199459219381, -80.3144152496219, -80.3145164204568, -80.3242456824271, -80.3242625442335, -80.3263365463521, -80.3263196845457, -80.3302147616954, 26.0758859228874, 26.078445482273, 26.0785666434604, 26.0790209967961, 26.0791573024529, 26.0789755615417, 26.0787483850065, 
26.0784757725819, 26.0786726593967, 26.0780819979589, 26.0749317532957, 26.0748257339718, 26.0747348601897, 26.0747802970893, 26.0713876267324, 26.0714027728012, 26.0730839741985, 26.0730991200472, 26.0757647589262, 26.0758859228874))"
Broward_Markham Park,Broward,Markham Park,333.1358488786504,2042,189,247,102,459,"list(c(-80.3665628567987, -80.355155282192, -80.3465802005992, -80.343050201506, -80.343560337596, -80.3439444376729, -80.3440596676956, -80.3442133077263, -80.3440451211754, -80.3440191238832, -80.3440711184681, -80.3443830859767, -80.3447730453629, -80.3455529641346, -80.3463588792206, -80.3669227375048, -80.3665628567987, 26.128201091734, 26.1386166534724, 26.1463493458297, 26.1462982044309, 26.1447248920313, 26.1413457987162, 26.1363804229259, 26.1314838039122, 26.1310667041392, 26.1292228232188, 
26.1274722764223, 26.1255583152388, 26.124157835968, 26.1232241737953, 26.1226639772797, 26.1278223922504, 26.128201091734))"
Broward_Military Trail Nature Area,Broward,Military Trail Nature Area,8.198630566349802,51,11,33,20,40,"list(c(-80.1357472354755, -80.1315540704248, -80.1319870995181, -80.135740018324, -80.1357472354755, 26.2876136422424, 26.2877042329812, 26.2858471086984, 26.2857371038881, 26.2876136422424))"
Broward_Miramar Pineland Natural Area,Broward,Miramar Pineland Natural Area,68.55457486345112,1758,36,209,84,372,"list(c(-80.2568610541099, -80.2570425893236, -80.2472561910088, -80.2470746557958, -80.2472396878078, -80.2475367454295, -80.2482463830811, -80.2488074919224, -80.2493025879582, -80.2498802000005, -80.2505898376521, -80.2513984945113, -80.2527682602113, -80.2564979836839, -80.262455639319, -80.2625051489222, -80.2568610541099, 25.9743310219181, 25.9777581384845, 25.9780400180857, 25.9744497116074, 25.9742420045728, 25.9741529871596, 25.9741084784283, 25.9738117531196, 25.9733963364303, 25.9730105910483, 
25.9726693536932, 25.9724616435144, 25.9723281153486, 25.9722539329689, 25.9721352410643, 25.9742568408016, 25.9743310219181))"
